#{"t_start": 1749861829.2679536, "env_id": "None"}
r,l,t
-3303.5767,99,124.515656
-18270.19,258,124.56522
-6039.609,63,124.565273
-8329.926,96,124.677881
-7923.209,170,124.807734
-6996.694,75,124.937335
-3733.899,45,124.986508
-2192.8872,70,125.049418
-4678.5596,46,125.049471
-2886.8665,52,125.098564
-6280.3086,67,125.115327
-13797.874,209,125.115372
-5078.0054,111,125.164542
-5808.603,67,125.246922
-4359.9185,42,125.246979
-6496.1074,401,125.293708
-6175.42,401,125.343083
-4837.8594,48,125.343137
-9891.461,401,125.392503
-2279.6226,45,125.409109
-4235.3125,47,125.573397
-5257.4536,401,125.620704
-3553.249,195,126.100247
-2031.9456,56,126.24832
-2728.353,77,126.296864
-4715.205,74,126.443324
-7152.7603,82,126.443385
-4687.6787,120,126.460077
-2919.585,92,126.606347
-4321.062,77,126.639087
-5461.138,159,126.672438
-7958.275,87,126.705327
-3834.0508,67,126.705378
-5521.654,401,126.805166
-4649.4023,46,126.855105
-7639.9946,83,126.918436
-1961.4834,47,127.01765
952.3677,401,127.064524
-7680.5938,352,127.097693
-527.1426,401,127.130612
-10859.897,127,127.163516
-3443.9258,55,127.343667
1184.7212,401,127.376605
-6262.1255,156,127.524298
-5717.595,59,127.669764
-1133.93,401,127.831359
-3949.208,62,127.927047
-5399.957,55,127.960427
